Year,Year Code,Country Name,Country Code,"Population ages 15-19, female (% of female population) [SP.POP.1519.FE.5Y]","Population ages 20-24, female (% of female population) [SP.POP.2024.FE.5Y]","Population ages 25-29, female (% of female population) [SP.POP.2529.FE.5Y]","Population ages 30-34, female (% of female population) [SP.POP.3034.FE.5Y]","Population ages 35-39, female (% of female population) [SP.POP.3539.FE.5Y]","Population ages 40-44, female (% of female population) [SP.POP.4044.FE.5Y]","Population ages 45-49, female (% of female population) [SP.POP.4549.FE.5Y]",Fertility percentage of women,Total women in country,Women Who are fertile,Mortality Rate,Mortality_Adjusted
2015,YR2015,Comoros,COM,10.38754781,9.337322822,8.372216138,7.099074598,5.684242213,4.630903136,3.850046452,49.36135317,385341,190209.5319,25,47.55238298
2015,YR2015,"Congo, Dem. Rep.",COD,10.22409081,8.561279276,7.138176394,5.940274511,4.912700058,4.064753952,3.355758757,44.19703375,38200543,16883506.88,99,16714.67182
2015,YR2015,"Congo, Rep.",COG,9.803744865,8.176556325,7.346860795,6.832061053,6.10530144,4.981457517,3.88476945,47.13075144,2496701,1176713.943,39,458.9184376
2015,YR2015,Costa Rica,CRI,8.088998044,8.429005536,8.488906465,8.040502851,7.183199434,6.407359614,6.58369063,53.22166257,2402304,1278546.129,,0
2015,YR2015,Cote d'Ivoire,CIV,11.11015524,9.260886552,7.610634415,6.371385553,5.373807179,4.286562393,3.413729646,47.42716098,11379956,5397190.051,,0
2015,YR2015,Croatia,HRV,5.359178344,5.3912515,6.133125465,6.476909606,6.545247296,6.539233579,6.326931155,42.77187694,2178188,931651.891,7,65.21563237
2015,YR2015,Cuba,CUB,5.911001169,6.243626943,7.072999718,5.957139527,5.931468298,8.628414208,9.164209418,48.90885928,5726254,2800645.511,4,112.0258204
2015,YR2015,Curacao,CUW,5.977810703,5.437661141,5.519325221,5.919479216,6.001143297,7.130440869,7.607592426,43.59345287,85702,37360.46098,6,2.241627659
2015,YR2015,Cyprus,CYP,6.531881267,8.568672919,8.575056764,8.253276465,7.601606659,6.845724894,6.574152674,52.95037164,579589,306894.5295,229,702.7884726
2015,YR2015,Czech Republic,CZE,4.111053551,5.56495188,6.316468281,6.741713239,8.353620617,7.852968149,6.352234469,45.29301019,5364012,2429522.502,,0
2015,YR2015,Denmark,DNK,6.102443908,6.616729962,5.905548016,5.420598786,6.241575279,6.62309385,7.328506336,44.23849614,2857267,1264011.951,6,75.84071708
2015,YR2015,Djibouti,DJI,10.40006236,10.04129019,9.760897948,7.630133397,6.937488768,5.506513977,4.595401567,54.87178821,461853,253427,92,233.15284
2015,YR2015,Dominica,DMA,0,0,0,0,0,0,0,0,0,0,140,0
2015,YR2015,Dominican Republic,DOM,9.130308273,8.889901496,8.227064855,7.544918432,6.657936879,5.997731669,5.385516945,51.83337855,5282294,2737991.445,63,1724.93461
2015,YR2015,Early-demographic dividend,EAR,9.276997933,8.971433342,8.629651218,7.997092432,6.98460951,6.099008657,5.322840225,53.28163332,1535526720,818153716.4,159,1300864.409
2015,YR2015,East Asia & Pacific,EAS,6.396495638,7.358089087,8.536448519,7.418331658,7.006162489,7.970907718,8.038215286,52.72465039,1122859165,592023569.2,59,349293.9058
2015,YR2015,East Asia & Pacific (excluding high income),EAP,6.547953413,7.58286708,8.878981095,7.525221253,7.018098812,8.007837388,8.140874655,53.7018337,998742198,536342874.2,25,134085.7186
2015,YR2015,East Asia & Pacific (IDA & IBRD countries),TEA,6.53691928,7.582373476,8.901805014,7.533230653,7.030902433,8.002122846,8.136366535,53.72372024,985843239,529631663.7,16,84741.06619
2015,YR2015,Ecuador,ECU,9.122233457,8.814824972,8.342106081,7.551958017,6.829836683,6.209235211,5.496094099,52.36628852,8073303,4227689.142,64,2705.721051
2015,YR2015,"Egypt, Arab Rep.",EGY,8.556662808,8.689701452,9.008818218,7.873433924,6.662868315,5.600883983,4.907296937,51.29966564,46369232,23787260.97,33,7849.796121
2015,YR2015,El Salvador,SLV,10.02618393,9.551839517,8.085395757,7.123632913,6.704606242,6.075078953,5.418595857,52.98533317,3342507,1771038.47,6,106.2623082
2015,YR2015,Equatorial Guinea,GNQ,9.107245871,8.936270342,8.954107967,8.319354202,5.874081552,4.247821533,3.541147984,48.98002945,526980,258114.9592,501,1293.155946
2015,YR2015,Eritrea,ERI,0,0,0,0,0,0,0,0,0,0,5,0
2015,YR2015,Estonia,EST,4.040329019,5.287649202,6.831766744,6.516116039,6.229602323,6.522828973,6.101628101,41.5299204,700182,290785.0273,9,26.17065245
2015,YR2015,Eswatini,SWZ,11.01423184,10.96392914,9.940225097,7.680722006,5.452400704,4.073489007,3.51633514,52.64133293,679882,357898.9472,353,1263.383284
2015,YR2015,Ethiopia,ETH,11.65977584,9.626885629,7.700837467,6.592416702,5.12140601,4.167759651,3.41947141,48.28855271,50012148,24150142.45,8,1932.011396
2015,YR2015,Euro area,EMU,4.933966507,5.260255005,5.725752706,6.097403929,6.444755407,6.991574765,7.509175898,42.96288422,173215581,74418409.51,475,353487.4452
2015,YR2015,Europe & Central Asia,ECS,5.370936811,6.121609525,6.962927356,6.936118613,6.8204244,6.786275356,6.709990436,45.7082825,466542295,213248470.2,3,6397.454105
2015,YR2015,Europe & Central Asia (excluding high income),ECA,5.770545045,6.807251744,8.089184422,7.625954825,7.10283239,6.634153188,6.050104984,48.0800266,213407815,102606534.2,30,30781.96026
2015,YR2015,Europe & Central Asia (IDA & IBRD countries),TEC,5.701051702,6.738955205,7.981227639,7.647627138,7.140009228,6.638641792,6.039743199,47.8872559,235223334,112641999.9,8,9011.359992
2015,YR2015,European Union,EUU,5.013101164,5.517530532,6.029751529,6.328387602,6.628110217,6.931939815,7.259494536,43.70831539,260247383,113749747,,0
2015,YR2015,Faroe Islands,FRO,0,0,0,0,0,0,0,0,0,0,100,0
2015,YR2015,Fiji,FJI,8.443021463,8.509381642,7.858550201,7.925138421,6.935436791,5.824872981,5.657262221,51.15366372,438518,224318.0231,291,652.7654471
2015,YR2015,Finland,FIN,5.304856673,6.114769149,5.935215622,6.185132293,5.998898039,5.503662188,6.287210933,41.3297449,2782890,1150161.338,9,103.5145204
2015,YR2015,Fragile and conflict affected situations,FCS,10.47345542,9.002162715,7.734419913,6.688193177,5.626774231,4.630317075,3.860185604,48.01550813,243179191,116763724.2,36,42034.94072
2015,YR2015,France,FRA,5.66288407,5.53682123,5.83888523,6.057790886,5.90614274,6.597546891,6.651209539,42.25128058,33870948,14310909.28,319,45651.80059
2015,YR2015,French Polynesia,PYF,8.407843598,8.163925032,7.913394215,7.670945038,7.27421002,7.141965014,7.069964955,53.64224787,136113,73014.07284,,0
2015,YR2015,Gabon,GAB,9.607744086,9.215871838,8.711137826,7.688241488,6.386547815,5.181729822,4.166719954,50.95799283,938315,478146.4904,679,3246.61467
2015,YR2015,"Gambia, The",GMB,10.70201527,9.068469145,7.777494054,6.687194893,5.503767681,3.963249468,3.385955689,47.0881462,998628,470235.4126,706,3319.862013
2015,YR2015,Georgia,GEO,5.389096902,6.631364199,6.878462106,6.668883964,6.698076761,6.464195494,6.424109862,45.15418929,1943041,877364.4111,549,4816.730617
2015,YR2015,Germany,DEU,4.768391002,5.324008093,6.152680697,6.014196093,5.692502379,6.187070639,8.095082614,42.23393152,41510094,17531344.67,342,59957.19878
2015,YR2015,Ghana,GHA,10.15859783,9.076115831,8.183894368,7.421885344,6.298281731,5.162303391,4.233174213,50.5342527,13858892,7003487.505,3,210.1046252
2015,YR2015,Gibraltar,GIB,0,0,0,0,0,0,0,0,0,0,27,0
2015,YR2015,Greece,GRC,4.803824276,4.861126599,5.322952065,6.699243936,7.448494203,7.539654595,7.678599119,44.35389479,5492875,2436303.999,,0
2015,YR2015,Greenland,GRL,0,0,0,0,0,0,0,0,0,0,88,0
2015,YR2015,Grenada,GRD,8.955167815,9.601262138,10.55162181,8.468718893,6.331348722,4.787483801,4.186465826,52.882069,53241,28154.94236,,0
2015,YR2015,Guam,GUM,8.399328354,8.195077941,7.413162248,6.42323693,6.104957145,6.528494812,6.360583429,49.42484086,79804,39443,229,90.32447
2015,YR2015,Guatemala,GTM,10.87793107,9.852345011,8.420433731,7.481230529,6.250447325,5.012737022,4.004371823,51.89949651,8257427,4285563.038,13,557.1231949
2015,YR2015,Guinea,GIN,10.589205,9.056073096,7.61552823,6.325228003,5.188487975,4.22891494,3.513052203,46.51648944,6032162,2805950,,0
2015,YR2015,Guinea-Bissau,GNB,10.36597626,9.508717556,8.373296897,7.063469582,5.474258355,4.380495337,3.346274974,48.51248896,900194,436706.5149,129,563.3514042
2015,YR2015,Guyana,GUY,10.68016903,9.820585953,6.340572112,6.828429419,6.922016232,6.321435312,5.699358262,52.61256632,381464,200698,482,967.36436
2015,YR2015,Haiti,HTI,10.24801409,9.657413749,8.987384468,8.137624122,6.289774503,4.972621029,4.404094543,52.69692651,5413639,2852821.365,8,228.2257092
2015,YR2015,Heavily indebted poor countries (HIPC),HPC,10.76298846,9.09220003,7.641561278,6.48286038,5.271557444,4.242411482,3.422737878,46.91631696,363293768,170444055.7,359,611894.1599
2015,YR2015,High income,HIC,5.710164001,6.183203105,6.427612018,6.65245119,6.702594725,6.870687129,6.858682266,45.40539443,620415336,281702030.4,17,47889.34518
2015,YR2015,Honduras,HND,10.69574041,9.975454143,8.857115517,7.832109008,6.677452305,5.474037693,4.532104334,54.04401341,4493633,2428539.621,100,2428.539621
2015,YR2015,"Hong Kong SAR, China",HKG,4.436678237,5.822739201,7.166661449,8.724074552,8.60456176,8.550027793,8.459077968,51.76382096,3921179,2029752.077,236,4790.214902
2015,YR2015,Hungary,HUN,4.862110249,5.988377733,5.796757593,6.216327197,7.899592371,7.550967217,6.521999987,44.83613235,5164605,2315609.133,452,10466.55328
2015,YR2015,Iceland,ISL,6.511011717,7.439593563,6.890223151,6.960717585,6.571175069,6.347537557,6.377315378,47.09757402,164840,77635.64101,506,392.8363435
2015,YR2015,India,IND,9.261451841,8.902885628,8.578312676,7.952954631,6.997417991,6.226407921,5.486984093,53.40641478,630489688,336721937.9,126,424269.6418
2015,YR2015,Indonesia,IDN,8.532069408,8.369229982,8.187749116,8.245579415,7.614968939,7.053690977,6.289560523,54.29284836,128123149,69561707,424,294941.6377
2015,YR2015,"Iran, Islamic Rep.",IRN,6.587260774,8.930562641,12.08875617,12.17627039,8.808640926,6.014736089,5.247915477,59.85414246,39418735,23593745.8,,0
2015,YR2015,Iraq,IRQ,10.38230574,9.026404739,7.879555336,6.806489181,6.000192936,5.115965483,4.215538562,49.42645198,17840093,8817725,174,15342.8415
2015,YR2015,Ireland,IRL,5.591088838,5.320466495,6.348122233,7.911197374,8.201659446,7.807397602,6.546772794,47.72670478,2369916,1131082.813,,0
2015,YR2015,Isle of Man,IMN,0,0,0,0,0,0,0,0,0,0,8,0
2015,YR2015,Israel,ISR,7.467674558,6.848607388,6.852641841,6.870231073,6.762580053,6.223980544,5.293866868,46.31958233,4224040,1956557.685,25,489.1394213
2015,YR2015,Italy,ITA,4.442145429,4.64169007,4.900208198,5.397406548,6.401687823,7.599977199,7.969121362,41.35223663,31172015,12890325.41,50,6445.162703
2015,YR2015,Jamaica,JAM,9.385748909,9.213454489,8.42821886,7.713190087,6.772224144,6.249588496,5.755298954,53.51772394,1442884,772198.6759,3,23.16596028
2015,YR2015,Japan,JPN,4.447819557,4.569783199,5.034537343,5.67836065,6.360178419,7.528872895,6.589109296,40.20866136,65022509,26144680.45,5,1307.234023
2015,YR2015,Jordan,JOR,10.09984001,9.164449955,8.343106489,7.646123157,6.480161139,5.68586307,4.648222828,52.06776665,4518327,2352591.959,4,94.10367835
2015,YR2015,Kazakhstan,KAZ,6.014395653,8.218278763,9.395985764,7.471493196,6.708977779,6.367203087,5.845725779,50.02206002,9047892,4525941.967,89,4028.088351
2015,YR2015,Kenya,KEN,10.82321475,9.135820988,8.568605971,7.458629576,6.005948674,4.569547752,3.403938273,49.96570598,23759240,11871472,58,6885.453761
2015,YR2015,Kiribati,KIR,10.23018352,8.99329801,8.584511737,7.32130952,5.90371592,5.000175445,5.396680585,51.42987473,56996,29312.9714,5,1.46564857
2015,YR2015,"Korea, Dem. People’s Rep.",PRK,7.39127145,7.620592299,7.134591802,6.913077785,6.039542109,8.44458909,8.485421846,52.02908638,12898959,6711210.52,12,805.3452624
2015,YR2015,"Korea, Rep.",KOR,5.98269049,6.63412508,6.070446241,7.257739018,7.346658251,8.252740839,8.489853516,50.03425343,25479412,12748433.57,510,65017.01123
2015,YR2015,Kosovo,XKX,0,0,0,0,0,0,0,0,0,0,76,0
2015,YR2015,Kuwait,KWT,6.214563102,6.616400208,10.16976274,12.59147317,11.58007366,10.00138523,7.775577857,64.94923597,1674811,1087776.948,161,1751.320887
2015,YR2015,Kyrgyz Republic,KGZ,8.48828807,9.395885329,9.947355234,7.235282442,5.950424178,5.550812225,5.360034544,51.92808202,3003502,1559660.982,90,1403.694884
2015,YR2015,Lao PDR,LAO,10.54552363,10.33734893,9.015897331,7.575518679,6.337121546,5.416880461,4.478777879,53.70706846,3342381,1795094.852,,0
2015,YR2015,Late-demographic dividend,LTE,6.08034123,7.278886742,8.807594822,7.59009555,7.115338076,7.908219377,8.026145894,52.80662169,1111780992,587093982.5,11,64580.33807
2015,YR2015,Latin America & Caribbean,LCN,8.573556312,8.44426689,8.234129014,7.885905742,7.317803251,6.665155504,6.036307121,53.15712383,318881856,169508423.1,4,6780.336923
2015,YR2015,Latin America & Caribbean (excluding high income),LAC,8.719222715,8.551615363,8.33101653,7.982230575,7.344830952,6.699134122,6.050121161,53.67817142,280901794,150782946.5,70,105548.0625
2015,YR2015,Latin America & the Caribbean (IDA & IBRD countries),TLA,8.635230842,8.493878935,8.266136154,7.928824966,7.346844887,6.627580035,5.973021688,53.27151751,310809432,165572901,197,326178.6149
2015,YR2015,Latvia,LVA,3.923016346,5.62842559,6.576019456,6.207685936,6.036736886,6.515078856,6.415459063,41.30242213,1069908,441897.9186,15,66.28468779
2015,YR2015,Least developed countries: UN classification,LDC,10.542271,9.175530256,7.943939819,6.948056836,5.71578083,4.694270942,3.937108001,48.95695768,480038819,235012401.5,725,1703839.911
2015,YR2015,Lebanon,LBN,9.827996076,10.4127428,9.877511889,8.637350238,6.780472914,5.511432762,4.923011839,55.97051852,2912197,1629971.761,9,146.6974585
2015,YR2015,Lesotho,LSO,11.12223286,10.35468352,9.372656099,7.78326821,5.479995143,3.911680037,3.40236158,51.42687744,1119924,575941.9429,48,276.4521326
2015,YR2015,Liberia,LBR,10.48526172,8.614226838,7.622756273,6.696269314,5.59477478,4.607965108,3.751974157,47.37322819,2231332,1057054,67,708.22618
2015,YR2015,Libya,LBY,8.499239141,8.72676803,9.302798738,9.177290135,8.853637336,7.557147073,5.874314506,57.99119496,3086644,1789981.74,436,7804.320385
2015,YR2015,Liechtenstein,LIE,0,0,0,0,0,0,0,0,0,0,479,0
2015,YR2015,Lithuania,LTU,5.211426548,6.331954064,6.01698746,5.58765422,5.771058097,6.597165806,6.882102475,42.39834867,1567186,664460.9846,,0
2015,YR2015,Low & middle income,LMY,8.296892133,8.344414973,8.547156007,7.606402065,6.765106699,6.492505138,6.04960809,52.10208511,3024700749,1575932158,30,472779.6475
2015,YR2015,Low income,LIC,10.70402223,9.102110374,7.693103149,6.521814565,5.27431178,4.344869825,3.587449167,47.22768109,349714258,165161934.5,257,424466.1716
2015,YR2015,Lower middle income,LMC,9.263230831,8.894012353,8.463444638,7.787498162,6.811188172,5.977730903,5.250959842,52.4480649,1417776100,743596129.1,238,1769758.787
2015,YR2015,Luxembourg,LUX,5.855472901,6.172511513,6.917817924,7.976620616,7.356004251,7.6188452,7.837761247,49.73503365,283726,141111.2216,487,687.2116491
2015,YR2015,"Macao SAR, China",MAC,4.883399639,7.706305246,10.97213872,9.891522648,6.890806289,8.741509217,8.680746549,57.76642831,312689,180629.267,34,61.41395078
2015,YR2015,"Macedonia, FYR",MKD,6.125685467,7.209353319,7.655111262,7.726278657,7.328125932,6.957189927,7.013739154,50.01548372,1039799,520060.4995,10,52.00604995
2015,YR2015,Madagascar,MDG,11.1413249,9.28179868,7.643629937,6.448653418,5.527180929,4.584609533,3.730646959,48.35784435,12152293,5876586.934,10,587.6586934
2015,YR2015,Malawi,MWI,11.15549808,9.631782681,8.172757782,6.304556188,5.023855678,3.801274039,2.915930646,47.00565509,8871474,4170094.47,18,750.6170046
2015,YR2015,Malaysia,MYS,9.443038326,10.07590615,9.753783924,8.466460302,6.734646673,6.179010588,5.595946661,56.24879262,14846230,8350825.125,,0
2015,YR2015,Maldives,MDV,8.16546624,10.42582576,11.75519008,10.30092274,7.315905602,6.053669783,5.262984137,59.27996434,181740,107735.4072,,0
2015,YR2015,Mali,MLI,10.41909158,8.531139905,7.003369571,5.970533657,5.000568008,4.035790015,3.090342623,44.05083536,8732264,3846635.238,121,4654.428638
2015,YR2015,Malta,MLT,5.397999212,6.564500084,7.045928039,7.142119785,6.979766888,6.352878245,5.759304792,45.24249704,221806,100350.573,,0
2015,YR2015,Marshall Islands,MHL,0,0,0,0,0,0,0,0,0,0,23,0
2015,YR2015,Mauritania,MRT,10.21903576,9.021094384,7.939089033,6.864212278,5.854263551,4.899754112,4.004151926,48.80160104,2076146,1013192.488,353,3576.569483
2015,YR2015,Mauritius,MUS,7.348402138,8.06151697,6.971314944,6.802199911,7.816260843,6.554112091,6.841686305,50.3954932,637251,321145.7844,68,218.3791334
2015,YR2015,Mexico,MEX,9.184558484,8.778068,8.242124226,7.702265151,7.503660529,7.262843428,5.741510987,54.41503081,63213533,34397663.46,81,27862.1074
2015,YR2015,"Micronesia, Fed. Sts.",FSM,12.37977466,11.18831704,8.701370078,7.233148824,4.008165509,3.281906332,3.904133789,50.69681624,50949,25829.5209,38,9.815217944
2015,YR2015,Middle East & North Africa,MEA,8.437613374,8.87333333,9.455170226,8.944617202,7.429862414,5.911162342,5.013056981,54.06481587,207242020,112045016.5,,0
2015,YR2015,Middle East & North Africa (excluding high income),MNA,8.531281593,8.951430285,9.450204388,8.807394725,7.159683249,5.677021139,4.94659155,53.52360693,182385214,97619145.04,180,175714.4611
2015,YR2015,Middle East & North Africa (IDA & IBRD countries),TMN,8.497712348,8.934829234,9.465304943,8.834528343,7.179312457,5.690965756,4.960656264,53.56330935,180205790,96524184.76,8,7721.93478
2015,YR2015,Middle income,MIC,7.982196071,8.245357694,8.658810575,7.748195571,6.960005716,6.77327616,6.371498344,52.73934013,2674986491,1410770224,587,8281221.215
2015,YR2015,Moldova,MDA,5.637206986,7.71122012,9.890271144,8.296573228,7.226692026,6.403382419,5.970686902,51.13603282,1846618,944287.1866,9,84.9858468
2015,YR2015,Monaco,MCO,0,0,0,0,0,0,0,0,0,0,178,0
2015,YR2015,Mongolia,MNG,7.534216497,8.912524203,10.24465544,8.362265708,7.514854318,6.885151005,6.024498812,55.47816598,1502931,833798.5548,90,750.4186993
2015,YR2015,Montenegro,MNE,6.34117381,6.592785254,6.590900524,7.181449232,6.868584065,6.714036212,6.160867981,46.44979708,315298,146455.2812,7,10.25186968
2015,YR2015,Morocco,MAR,8.207043556,8.644360271,8.447174469,8.318868055,7.218572308,6.406232325,5.799159855,53.04141084,17582911,9326224.061,44,4103.538587
2015,YR2015,Mozambique,MOZ,10.58422014,8.755142037,7.249568373,6.210171686,5.170266302,4.2928727,3.440656196,45.70289744,14350342,6558522.086,,0
2015,YR2015,Myanmar,MMR,9.025753878,8.436250316,7.953492145,7.640339009,7.347793451,6.813018395,6.105807328,53.32245452,26810520,14296027.33,489,69907.57366
2015,YR2015,Namibia,NAM,10.7308106,10.22159556,8.706542479,7.106713795,6.019709325,4.943773004,4.041959511,51.77110427,1246824,645494.5531,602,3885.87721
2015,YR2015,Nauru,NRU,0,0,0,0,0,0,0,0,0,0,53,0
2015,YR2015,Nepal,NPL,10.8911583,9.676611641,8.625117536,7.551336306,6.575481505,5.509522459,4.600190118,53.42941787,14752909,7882393.397,634,49974.37414
