Year,Year Code,Country Name,Country Code,"Population ages 15-19, female (% of female population) [SP.POP.1519.FE.5Y]","Population ages 20-24, female (% of female population) [SP.POP.2024.FE.5Y]","Population ages 25-29, female (% of female population) [SP.POP.2529.FE.5Y]","Population ages 30-34, female (% of female population) [SP.POP.3034.FE.5Y]","Population ages 35-39, female (% of female population) [SP.POP.3539.FE.5Y]","Population ages 40-44, female (% of female population) [SP.POP.4044.FE.5Y]","Population ages 45-49, female (% of female population) [SP.POP.4549.FE.5Y]",Fertility_Population
2015,YR2015,Poland,POL,4.983756763,6.146233977,7.013005054,8.013006925,7.60999831,6.698447936,5.895281861,46.35973082
2015,YR2015,Portugal,PRT,4.993438207,5.0140675,5.307930057,6.212135168,7.291917275,7.740016179,7.188843765,43.74834815
2015,YR2015,Post-demographic dividend,PST,5.43893009,5.946702658,6.236685647,6.411512841,6.484438469,6.86556083,6.996626356,44.38045689
2015,YR2015,Pre-demographic dividend,PRE,10.58419118,8.91160625,7.56935571,6.407490652,5.28904283,4.25248443,3.401090692,46.41526174
2015,YR2015,Puerto Rico,PRI,6.954562512,7.321381028,6.902781301,6.936271375,6.964363206,6.764104091,6.686275044,48.52973856
2015,YR2015,Qatar,QAT,5.800888638,8.144705196,12.69193213,13.90004784,10.83552325,7.958261519,5.6013382,64.93269678
2015,YR2015,Romania,ROU,5.168325716,5.437757373,6.746334767,6.079457493,7.502332718,7.365952406,7.619949755,45.92011023
2015,YR2015,Russian Federation,RUS,4.004113581,5.643002579,8.053594255,7.712377276,7.070598601,6.629456157,5.832573191,44.94571564
2015,YR2015,Rwanda,RWA,10.23346259,8.692198594,9.016894511,8.148351066,5.681967695,4.262863181,3.112553379,49.14829102
2015,YR2015,Samoa,WSM,10.40382934,8.53819748,6.204558538,5.589433061,5.369821539,5.081981194,4.804801603,45.99262276
2015,YR2015,San Marino,SMR,..,..,..,..,..,..,..,0
2015,YR2015,Sao Tome and Principe,STP,10.54609525,8.68334216,8.140505968,6.022120829,6.301177333,4.046319306,3.30081069,47.04037153
2015,YR2015,Saudi Arabia,SAU,8.414419123,8.972005213,9.39931883,9.541534715,9.575184107,7.744241493,5.316867427,58.96357091
2015,YR2015,Senegal,SEN,10.23113913,9.077194072,7.96688912,6.900066916,5.608697494,4.529824431,3.568942251,47.88275341
2015,YR2015,Serbia,SRB,5.771777882,6.17215477,6.585701514,6.470310592,6.842270642,6.725796964,6.33680007,44.90481243
